Pays,Zone,Région,MIN 200,201 300,301 400,401 500,501 600,601 700,701 800,801 900,901 1000,1001 1200,1201 1400,1401 1600,1601 1800,1801 2000,2001 2500,2500 MAX
DE,DE - 78,Freiburg,52.08,69.35,89.65,109.82,129.8,143.76,162.4,180.7,198.72,230.73,273.59,322.79,348.83,374.45,420.26,501.61
DE,DE - 79,Munich,77.89,110.59,146.99,182.61,217.41,240.02,272.06,303.75,334.7,373.55,445.66,534.7,577.61,619.85,683.97,820.77
DE,DE - 80,Munich,77.89,110.59,146.99,182.61,217.41,240.02,272.06,303.75,334.7,373.55,445.66,534.7,577.61,619.85,683.97,820.77
DE,DE - 81,Fürth,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 82,Rosenheim,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 83,Landshut,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 84,Ingolstadt,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 85,Augsburg,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 86,Kempten,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 87,Tettnang,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 88,Ulm,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 89,Nürnberg,75.32,106.45,141.17,174.89,208.4,230.16,260.77,291.05,320.82,357.57,426.39,510.85,552.0,592.48,654.88,785.78
DE,DE - 90,Erlangen,75.32,106.45,141.17,174.89,208.4,230.16,260.77,291.05,320.82,357.57,426.39,510.85,552.0,592.48,654.88,785.78
DE,DE - 91,Amberg,75.32,106.45,141.17,174.89,208.4,230.16,260.77,291.05,320.82,357.57,426.39,510.85,552.0,592.48,654.88,785.78
DE,DE - 92,Regensburg,75.32,106.45,141.17,174.89,208.4,230.16,260.77,291.05,320.82,357.57,426.39,510.85,552.0,592.48,654.88,785.78
DE,DE - 93,Passau,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 94,Hof,75.32,106.45,141.17,174.89,208.4,230.16,260.77,291.05,320.82,357.57,426.39,510.85,552.0,592.48,654.88,785.78
DE,DE - 95,Bamberg,75.32,106.45,141.17,174.89,208.4,230.16,260.77,291.05,320.82,357.57,426.39,510.85,552.0,592.48,654.88,785.78
DE,DE - 96,Würzburg,70.96,99.39,131.22,162.33,193.29,213.44,241.76,269.94,297.31,334.09,394.51,471.11,509.41,547.11,606.75,727.55
DE,DE - 97,Thüringen,75.32,106.45,141.17,174.89,208.4,230.16,260.77,291.05,320.82,357.57,426.39,510.85,552.0,592.48,654.88,785.78
DE,DE - 98,Erfurt,900.0,901.0,1000.0,1001.0,1200.0,1201.0,1400.0,1401.0,1600.0,1601.0,1800.0,1801.0,2000.0,2001.0,2500.0,2500.0
